고유번호,등록일시,은행코드,은행명
38007,20220101161114700000 ,226,KB증권(현대증권)
38008,20220101195051700000 ,226,KB증권(현대증권)
38009,20220101231104700000 ,230,미래에셋증권
38010,20220101015217700000 ,230,미래에셋증권
38011,20220101212613700000 ,230,미래에셋증권
38012,20220101120710900000 ,240,삼성증권
38013,20220101163308900000 ,261,교보증권
38014,20220101104932900000 ,264,키움증권
38015,20220101083644900000 ,267,대신증권
38016,20220101032518900000 ,269,한화투자증권
38017,20220101130922900000 ,271,토스증권
38018,20220101164607900000 ,271,토스증권
38019,20220101205859900000 ,288,카카오페이증권
38020,20220101213824900000 ,288,카카오페이증권
38021,20220101113050900000 ,288,카카오페이증권
38022,20220101115843900000 ,288,카카오페이증권
38023,20220101142359900000 ,288,카카오페이증권
38024,20220101125156900000 ,288,카카오페이증권
38025,20220101000857900000 ,288,카카오페이증권
38026,20220101140514900000 ,294,한국포스증권
38027,20220102164346300000 ,209,유안타증권
38028,20220102030801300000 ,230,미래에셋증권
38029,20220102151352300000 ,247,NH투자증권
38030,20220102222945300000 ,270,하나금융투자
38031,20220102031029300000 ,271,토스증권
38032,20220102105906300000 ,271,토스증권
38033,20220102035702300000 ,278,신한금융투자
38034,20220102230107300000 ,278,신한금융투자
38035,20220102183806300000 ,278,신한금융투자
38036,20220102221736300000 ,288,카카오페이증권
38037,20220102154524300000 ,288,카카오페이증권
38038,20220102102426300000 ,288,카카오페이증권
38039,20220102150500300000 ,291,신영증권
38040,20220103170146400000 ,226,KB증권(현대증권)
38041,20220103235241400000 ,226,KB증권(현대증권)
38042,20220103045239400000 ,230,미래에셋증권
38043,20220103184912400000 ,230,미래에셋증권
38044,20220103121306400000 ,264,키움증권
38045,20220103172558400000 ,271,토스증권
38046,20220103000253400000 ,278,신한금융투자
38047,20220103105827400000 ,278,신한금융투자
38048,20220103132528400000 ,278,신한금융투자
38049,20220103205152400000 ,278,신한금융투자
38050,20220103231113400000 ,280,유진투자증권
38051,20220103221438400000 ,280,유진투자증권
38052,20220103002550400000 ,288,카카오페이증권
38053,20220103171201400000 ,288,카카오페이증권
38054,20220103092237400000 ,288,카카오페이증권
38055,20220103222010400000 ,288,카카오페이증권
38056,20220103164048400000 ,294,한국포스증권
38057,20220103185312400000 ,295,우리종합금융
38058,20220104205437800000 ,230,미래에셋증권
38059,20220104102351800000 ,230,미래에셋증권
38060,20220104140448800000 ,240,삼성증권
38061,20220104174453800000 ,243,한국투자증권
38062,20220104175458800000 ,243,한국투자증권
38063,20220104174224800000 ,243,한국투자증권
38064,20220104162656800000 ,247,NH투자증권
38065,20220104205237800000 ,261,교보증권
38066,20220104210152800000 ,270,하나금융투자
38067,20220104180148800000 ,271,토스증권
38068,20220104100301800000 ,288,카카오페이증권
38069,20220104005628800000 ,288,카카오페이증권
38070,20220104161700800000 ,288,카카오페이증권
38071,20220104223636800000 ,288,카카오페이증권
38072,20220104230603800000 ,288,카카오페이증권
38073,20220104230726900000 ,288,카카오페이증권
38074,20220104214352900000 ,288,카카오페이증권
38075,20220105203610300000 ,209,유안타증권
38076,20220105204129300000 ,226,KB증권(현대증권)
38077,20220105190806300000 ,226,KB증권(현대증권)
38078,20220105213444300000 ,226,KB증권(현대증권)
38079,20220105122550300000 ,230,미래에셋증권
38080,20220105122149300000 ,240,삼성증권
38081,20220105095945300000 ,243,한국투자증권
38082,20220105162146300000 ,243,한국투자증권
38083,20220105141335300000 ,247,NH투자증권
38084,20220105200813300000 ,261,교보증권
38085,20220105195238300000 ,261,교보증권
38086,20220105184602400000 ,261,교보증권
38087,20220105155833400000 ,264,키움증권
38088,20220105195909400000 ,264,키움증권
38089,20220105114055400000 ,270,하나금융투자
38090,20220105091734400000 ,270,하나금융투자
38091,20220105232007400000 ,271,토스증권
38092,20220105165528400000 ,278,신한금융투자
38093,20220105121316400000 ,278,신한금융투자
38094,20220105022310400000 ,278,신한금융투자
38095,20220105003331400000 ,288,카카오페이증권
38096,20220105202537400000 ,288,카카오페이증권
38097,20220105024406400000 ,288,카카오페이증권
38098,20220105184411400000 ,288,카카오페이증권
38099,20220105190921400000 ,288,카카오페이증권
38100,20220106230014400000 ,230,미래에셋증권
38101,20220106232322400000 ,230,미래에셋증권
38102,20220106114924400000 ,240,삼성증권
38103,20220106215136400000 ,243,한국투자증권
38104,20220106182837400000 ,247,NH투자증권
38105,20220106115553400000 ,264,키움증권
38106,20220106001421400000 ,270,하나금융투자
38107,20220106063410400000 ,271,토스증권
38108,20220106172356400000 ,271,토스증권
38109,20220106211301400000 ,271,토스증권
38110,20220106211805400000 ,271,토스증권
38111,20220106202044400000 ,278,신한금융투자
38112,20220106222504400000 ,288,카카오페이증권
38113,20220106180034400000 ,288,카카오페이증권
38114,20220106161522400000 ,288,카카오페이증권
38115,20220106121148400000 ,288,카카오페이증권
38116,20220105141111700000 ,209,유안타증권
38117,20220105140446700000 ,209,유안타증권
38118,20220103140446700000 ,209,유안타증권
38119,20220105140334700000 ,209,유안타증권
38120,20220107042113700000 ,226,KB증권(현대증권)
38121,20220107002948700000 ,226,KB증권(현대증권)
