고유번호,자원인터넷서비스제공자,등록일시
1,Korea Telecom,20220101001217600000 
2,Korea Telecom,20220101001848600000 
3,Korea Telecom,20220101003034600000 
4,SK Telecom,20220101004519600000 
5,SK Telecom,20220101004645600000 
6,Korea Telecom,20220101013631700000 
7,LGTELECOM,20220101014852700000 
8,SK Broadband Co Ltd,20220101023949700000 
9,Korea Telecom,20220101084302700000 
10,Korea Telecom,20220101090044700000 
11,LG POWERCOMM,20220101100033000000 
12,LG HelloVision Corp.,20220101104832200000 
13,Korea Telecom,20220101110257200000 
14,LG POWERCOMM,20220101113609300000 
15,SK Telecom,20220101115129400000 
16,SK Broadband Co Ltd,20220101121032500000 
17,LGTELECOM,20220101134134700000 
18,SK Broadband Co Ltd,20220101143735700000 
19,Catholic University of Pusan,20220101144628700000 
20,Korea Telecom,20220101150335700000 
21,Hutchison CP Telecommunications^ PT,20220101150428000000 
22,Korea Telecom,20220101151747000000 
23,SK Broadband Co Ltd,20220101153416000000 
24,LGTELECOM,20220101162039000000 
25,Korea Telecom,20220101171240100000 
26,Korea Telecom,20220101183205100000 
27,Korea Telecom,20220101183223100000 
28,SK Telecom,20220101190559100000 
29,LGTELECOM,20220101192824100000 
30,LG DACOM Corporation,20220101203510100000 
31,Korea Telecom,20220101231247200000 
32,SK Telecom,20220101233645200000 
33,SK Broadband Co Ltd,20220101234246200000 
34,SK Telecom,20220101234818200000 
35,SK Broadband Co Ltd,20220102031342200000 
36,SK Telecom,20220102064633300000 
37,LG POWERCOMM,20220102092915300000 
38,Korea Telecom,20220102105302300000 
39,SK Telecom,20220102114637400000 
40,Korea Telecom,20220102115158400000 
41,SK Telecom,20220102115209400000 
42,Korea Telecom,20220102115920400000 
43,SK Telecom,20220102120441400000 
44,SK Telecom,20220102121014500000 
45,LGTELECOM,20220102122956500000 
46,SK Broadband Co Ltd,20220102123358500000 
47,LGTELECOM,20220102123948600000 
48,SK Telecom,20220102125202600000 
49,Korea Telecom,20220102125711600000 
50,SK Telecom,20220102131901700000 
51,KCTV JEJU BROADCASTING,20220102134201700000 
52,SK Telecom,20220102135157700000 
53,SK Broadband Co Ltd,20220102151350900000 
54,Korea Telecom,20220102155537900000 
55,Korea Telecom,20220102163040000000 
56,LG POWERCOMM,20220102172216000000 
57,LGTELECOM,20220102172329000000 
58,SK Telecom,20220102180406000000 
59,Korea Telecom,20220102184022100000 
60,LGTELECOM,20220102185557100000 
61,Korea Telecom,20220102191951100000 
62,Korea Telecom,20220102194643100000 
63,Korea Telecom,20220102195818200000 
64,Korea Telecom,20220102201253200000 
65,LGTELECOM,20220102212256200000 
66,SK Broadband Co Ltd,20220102220406200000 
67,SK Broadband Co Ltd,20220102223855200000 
68,SK Broadband Co Ltd,20220102224046200000 
69,LG POWERCOMM,20220102232204300000 
