고유번호,성별,광역시도명,법정시군구명,등록일시
1,남자,경기도,남양주시,20220101001217000000 
2,남자,대전광역시,중구,20220101001848000000 
3,남자,서울특별시,송파구,20220101003034000000 
4,남자,서울특별시,중구,20220101004519000000 
5,남자,경기도,화성시,20220101004613000000 
6,남자,서울특별시,중구,20220101004645100000 
7,남자,경기도,화성시,20220101013631100000 
8,남자,서울특별시,용산구,20220101014852100000 
9,남자,경상남도,창원시성산구,20220101023949100000 
10,남자,서울특별시,서초구,20220101084101100000 
11,남자,서울특별시,서초구,20220101084302100000 
12,남자,제주특별자치도,제주시,20220101090044200000 
13,여자,경기도,구리시,20220101100033300000 
14,남자,부산광역시,기장군,20220101104832400000 
15,남자,충청북도,충주시,20220101110257400000 
16,남자,대구광역시,달서구,20220101113609500000 
17,여자,서울특별시,중구,20220101115129500000 
18,남자,서울특별시,도봉구,20220101121032600000 
19,여자,서울특별시,성북구,20220101125315900000 
20,남자,충청남도,천안시서북구,20220101131400000000 
21,여자,충청남도,금산군,20220101134134000000 
22,남자,서울특별시,서초구,20220101150335100000 
23,여자,서울특별시,성북구,20220101151747400000 
24,여자,충청남도,서산시,20220101153416400000 
25,여자,충청남도,서산시,20220101154127400000 
26,남자,제주특별자치도,제주시,20220101162039400000 
27,남자,충청남도,당진시,20220101170937400000 
28,남자,서울특별시,송파구,20220101171240500000 
29,남자,충청남도,당진시,20220101171253500000 
30,남자,경기도,화성시,20220101183205500000 
31,남자,부산광역시,부산진구,20220101183223500000 
32,남자,서울특별시,서초구,20220101184320500000 
33,남자,서울특별시,강서구,20220101190230500000 
34,남자,서울특별시,강서구,20220101190246500000 
35,남자,서울특별시,강서구,20220101190559500000 
36,남자,서울특별시,강남구,20220101192824500000 
37,남자,서울특별시,송파구,20220101203510600000 
38,남자,경기도,성남시수정구,20220101231247600000 
39,남자,서울특별시,중구,20220101233645600000 
40,남자,서울특별시,중구,20220101234818600000 
41,남자,경기도,화성시,20220102001631600000 
42,남자,서울특별시,성북구,20220102031342600000 
43,남자,서울특별시,마포구,20220102064633700000 
44,남자,부산광역시,남구,20220102073004700000 
45,남자,서울특별시,성동구,20220102092915700000 
46,여자,광주광역시,광산구,20220102105302800000 
47,남자,경기도,오산시,20220102114637800000 
48,남자,부산광역시,부산진구,20220102115158800000 
49,여자,울산광역시,남구,20220102115209800000 
50,남자,충청북도,청주시청원구,20220102115920800000 
51,남자,서울특별시,동대문구,20220102120441900000 
52,남자,서울특별시,강서구,20220102121014000000 
53,여자,서울특별시,강서구,20220102122417000000 
54,남자,광주광역시,북구,20220102122436000000 
55,남자,광주광역시,북구,20220102122709100000 
56,남자,광주광역시,북구,20220102123358100000 
57,남자,서울특별시,종로구,20220102123948100000 
58,여자,서울특별시,성동구,20220102125202200000 
59,여자,충청남도,서산시,20220102125235200000 
60,여자,충청남도,서산시,20220102125326200000 
61,남자,경상남도,양산시,20220102125504200000 
62,여자,충청남도,서산시,20220102125650200000 
63,남자,서울특별시,동작구,20220102125711200000 
64,여자,충청남도,서산시,20220102130803200000 
65,여자,충청남도,서산시,20220102131004200000 
66,여자,충청남도,서산시,20220102131020200000 
67,남자,강원도,삼척시,20220102131901300000 
68,여자,충청남도,서산시,20220102133649300000 
69,여자,경기도,시흥시,20220102133651300000 
70,여자,충청남도,서산시,20220102133712300000 
71,남자,인천광역시,옹진군,20220102134914400000 
72,남자,인천광역시,옹진군,20220102134936400000 
73,남자,경상북도,상주시,20220102135157400000 
74,남자,전라남도,여수시,20220102135205400000 
75,남자,서울특별시,서초구,20220102145027400000 
76,남자,경기도,하남시,20220102150150500000 
77,남자,서울특별시,동대문구,20220102151350500000 
78,남자,경기도,하남시,20220102151419500000 
79,남자,경기도,하남시,20220102151957500000 
80,남자,경기도,성남시분당구,20220102163040500000 
81,남자,제주특별자치도,제주시,20220102171131500000 
82,남자,대전광역시,서구,20220102172216500000 
83,여자,서울특별시,도봉구,20220102172329500000 
84,남자,서울특별시,송파구,20220102173709600000 
85,남자,인천광역시,계양구,20220102180406600000 
86,남자,부산광역시,부산진구,20220102185557600000 
87,남자,서울특별시,용산구,20220102191951600000 
88,남자,서울특별시,영등포구,20220102194643600000 
89,남자,서울특별시,송파구,20220102195818600000 
90,남자,경기도,남양주시,20220102201253700000 
91,남자,충청북도,청주시상당구,20220102203403700000 
92,남자,충청북도,청주시상당구,20220102203558700000 
93,남자,인천광역시,동구,20220102212256700000 
94,남자,부산광역시,금정구,20220102215741800000 
95,여자,서울특별시,서초구,20220102220406800000 
96,남자,강원도,춘천시,20220102232204800000 
97,남자,충청북도,청주시상당구,20220102235247900000 
98,여자,경기도,성남시분당구,20220103005740100000 
99,남자,서울특별시,서초구,20220103010237100000 
100,여자,경기도,성남시분당구,20220103010626100000 
101,남자,부산광역시,부산진구,20220103013102100000 
102,남자,부산광역시,수영구,20220103034635300000 
103,남자,부산광역시,수영구,20220103034905300000 
104,남자,부산광역시,수영구,20220103035201300000 
105,남자,서울특별시,성동구,20220103081436300000 
106,남자,서울특별시,중구,20220103091342500000 
107,남자,서울특별시,강남구,20220103092206500000 
108,남자,경상북도,봉화군,20220103092552500000 
109,남자,경기도,성남시분당구,20220103100537600000 
110,남자,부산광역시,금정구,20220103104121600000 
111,남자,서울특별시,강남구,20220103105635600000 
112,남자,광주광역시,남구,20220103112010300000 
113,남자,부산광역시,금정구,20220103112150400000 
114,남자,부산광역시,금정구,20220103112231400000 
115,남자,서울특별시,강북구,20220103121550400000 
116,남자,광주광역시,북구,20220103123736400000 
117,남자,광주광역시,북구,20220103123951400000 
118,남자,경기도,하남시,20220103124311500000 
