STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
22502,1940-02-01,0,,25.55555556,18.33333333,22.22222222,0,,40,2,1,0,,,78,65,72,0,,,,,,,,,,,,
22502,1940-02-02,0,,26.11111111,15,20.55555556,0,,40,2,2,0,,,79,59,69,0,,,,,,,,,,,,
22502,1940-02-03,0.508,,26.11111111,18.88888889,22.77777778,0,,40,2,3,0.02,,,79,66,73,0,,,,,,,,,,,,
22502,1940-02-04,3.81,,26.11111111,17.22222222,21.66666667,0,,40,2,4,0.15,,,79,63,71,0,,,,,,,,,,,,
22502,1940-02-05,0,,25,16.66666667,21.11111111,0,,40,2,5,0,,,77,62,70,0,,,,,,,,,,,,
22502,1940-02-06,0,,26.66666667,14.44444444,20.55555556,0,,40,2,6,0,,,80,58,69,0,,,,,,,,,,,,
22502,1940-02-07,0,,25.55555556,13.88888889,20,0,,40,2,7,0,,,78,57,68,0,,,,,,,,,,,,
22502,1940-02-08,0,,26.11111111,18.33333333,22.22222222,0,,40,2,8,0,,,79,65,72,0,,,,,,,,,,,,
22502,1940-02-09,1.524,,25.55555556,15.55555556,20.55555556,0,,40,2,9,0.06,,,78,60,69,0,,,,,,,,,,,,
22502,1940-02-10,0,,25,18.33333333,21.66666667,0,,40,2,10,0,,,77,65,71,0,,,,,,,,,,,,
22502,1940-02-11,T,,25.55555556,17.77777778,21.66666667,0,,40,2,11,T,,,78,64,71,0,,,,,,,,,,,,
22502,1940-02-12,0,,27.22222222,16.11111111,21.66666667,0,,40,2,12,0,,,81,61,71,0,,,,,,,,,,,,
22502,1940-02-13,0,,27.77777778,13.88888889,20.55555556,0,,40,2,13,0,,,82,57,69,0,,,,,,,,,,,,
22502,1940-02-14,0,,26.11111111,13.33333333,19.44444444,0,,40,2,14,0,,,79,56,67,0,,,,,,,,,,,,
22502,1940-02-15,0,,25.55555556,15.55555556,20.55555556,0,,40,2,15,0,,,78,60,69,0,,,,,,,,,,,,
22502,1940-02-16,0,,25.55555556,13.33333333,19.44444444,0,,40,2,16,0,,,78,56,67,0,,,,,,,,,,,,
22502,1940-02-17,T,,27.77777778,16.11111111,22.22222222,0,,40,2,17,T,,,82,61,72,0,,,,,,,,,,,,
22502,1940-02-18,0,,26.66666667,15.55555556,21.11111111,0,,40,2,18,0,,,80,60,70,0,,,,,,,,,,,,
22502,1940-02-19,T,,25,12.22222222,18.88888889,0,,40,2,19,T,,,77,54,66,0,,,,,,,,,,,,
22502,1940-02-20,0,,25.55555556,15.55555556,20.55555556,0,,40,2,20,0,,,78,60,69,0,,,,,,,,,,,,
22502,1940-02-21,4.064,,25,15.55555556,20.55555556,0,,40,2,21,0.16,,,77,60,69,0,,,,,,,,,,,,
22502,1940-02-22,0,,22.77777778,12.77777778,17.77777778,0,,40,2,22,0,,,73,55,64,0,,,,,,,,,,,,
22502,1940-02-23,0,,23.33333333,10.55555556,16.66666667,0,,40,2,23,0,,,74,51,62,0,,,,,,,,,,,,
22502,1940-02-24,0,,25,13.88888889,19.44444444,0,,40,2,24,0,,,77,57,67,0,,,,,,,,,,,,
22502,1940-02-25,0,,26.11111111,18.88888889,22.22222222,0,,40,2,25,0,,,79,66,72,0,,,,,,,,,,,,
22502,1940-02-26,3.556,,23.88888889,15.55555556,20,0,,40,2,26,0.14,,,75,60,68,0,,,,,,,,,,,,
22502,1940-02-27,0,,22.77777778,11.11111111,16.66666667,0,,40,2,27,0,,,73,52,62,0,,,,,,,,,,,,
22502,1940-02-28,0,,25.55555556,12.77777778,18.88888889,0,,40,2,28,0,,,78,55,66,0,,,,,,,,,,,,
22502,1940-02-29,0,,27.77777778,12.77777778,20,0,,40,2,29,0,,,82,55,68,0,,,,,,,,,,,,
22502,1940-03-01,0,,28.33333333,10,18.88888889,0,,40,3,1,0,,,83,50,66,0,,,,,,,,,,,,
22502,1940-03-02,0,,28.33333333,16.66666667,22.22222222,0,,40,3,2,0,,,83,62,72,0,,,,,,,,,,,,
22502,1940-03-03,0,,26.66666667,13.33333333,20,0,,40,3,3,0,,,80,56,68,0,,,,,,,,,,,,
22502,1940-03-04,0,,27.77777778,13.33333333,20.55555556,0,,40,3,4,0,,,82,56,69,0,,,,,,,,,,,,
22502,1940-03-05,0,,27.77777778,13.88888889,20.55555556,0,,40,3,5,0,,,82,57,69,0,,,,,,,,,,,,
22502,1940-03-06,0,,28.33333333,15,21.66666667,0,,40,3,6,0,,,83,59,71,0,,,,,,,,,,,,
22502,1940-03-07,0,,28.88888889,14.44444444,21.66666667,0,,40,3,7,0,,,84,58,71,0,,,,,,,,,,,,
