지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%)
156,광주,2020-09-01 0:00,25.9,1,200,96
156,광주,2020-09-01 1:00,25.5,0.3,0,96
156,광주,2020-09-01 2:00,24.8,1.2,70,98
156,광주,2020-09-01 3:00,24.2,1.5,50,98
156,광주,2020-09-01 4:00,23.7,1.8,50,99
156,광주,2020-09-01 5:00,23.3,1.6,70,99
156,광주,2020-09-01 6:00,23.1,2.3,50,98
156,광주,2020-09-01 7:00,23.2,1.6,50,98
156,광주,2020-09-01 8:00,24.4,2.7,50,95
156,광주,2020-09-01 9:00,26.2,2.8,50,86
156,광주,2020-09-01 10:00,28,1.7,50,81
156,광주,2020-09-01 11:00,29.4,2.5,50,75
156,광주,2020-09-01 12:00,29.5,1.5,70,77
156,광주,2020-09-01 13:00,29.8,0.9,90,74
156,광주,2020-09-01 14:00,30,1.9,70,71
156,광주,2020-09-01 15:00,29.4,1.7,160,78
156,광주,2020-09-01 16:00,30.2,1.3,180,77
156,광주,2020-09-01 17:00,28.9,1.8,50,77
156,광주,2020-09-01 18:00,28.6,1.9,70,75
156,광주,2020-09-01 19:00,28.1,1.6,70,79
156,광주,2020-09-01 20:00,27.9,1.1,70,82
156,광주,2020-09-01 21:00,27,0.7,180,94
156,광주,2020-09-01 22:00,26.7,1.6,50,94
156,광주,2020-09-01 23:00,25.4,1.7,50,99
156,광주,2020-09-02 0:00,25.7,2.9,50,98
156,광주,2020-09-02 1:00,25.5,2.5,50,98
156,광주,2020-09-02 2:00,25.6,2.3,50,97
156,광주,2020-09-02 3:00,25.7,2.7,50,96
156,광주,2020-09-02 4:00,25.4,3.6,50,97
156,광주,2020-09-02 5:00,25.1,1.6,50,97
156,광주,2020-09-02 6:00,24.2,2,70,99
156,광주,2020-09-02 7:00,23.6,2.2,50,99
156,광주,2020-09-02 8:00,23.3,2.4,50,99
156,광주,2020-09-02 9:00,23.8,2.8,50,99
156,광주,2020-09-02 10:00,25,3.4,50,99
156,광주,2020-09-02 11:00,25.9,4.5,50,98
156,광주,2020-09-02 12:00,26.8,3,50,95
156,광주,2020-09-02 13:00,27.2,3.5,70,94
156,광주,2020-09-02 14:00,26.9,3.6,50,95
156,광주,2020-09-02 15:00,26.3,5.4,50,96
156,광주,2020-09-02 16:00,26.6,4.2,50,95
156,광주,2020-09-02 17:00,25.2,6.8,50,98
156,광주,2020-09-02 18:00,24.4,5.4,50,99
156,광주,2020-09-02 19:00,24.4,4.1,50,99
156,광주,2020-09-02 20:00,24.1,3.6,20,99
156,광주,2020-09-02 21:00,24.3,5.2,20,99
156,광주,2020-09-02 22:00,24.1,4.6,20,99
156,광주,2020-09-02 23:00,23.9,3.7,20,99
156,광주,2020-09-03 0:00,23.6,3.8,20,99
156,광주,2020-09-03 1:00,23.6,3.9,360,99
156,광주,2020-09-03 2:00,23,3.1,320,99
156,광주,2020-09-03 3:00,21.7,3.7,320,99
156,광주,2020-09-03 4:00,21.6,3.1,290,99
156,광주,2020-09-03 5:00,21.8,3.3,270,99
156,광주,2020-09-03 6:00,21.7,3.7,270,99
156,광주,2020-09-03 7:00,21.9,3.7,270,98
156,광주,2020-09-03 8:00,22.3,3.3,250,98
156,광주,2020-09-03 9:00,23.3,4.7,250,94
156,광주,2020-09-03 10:00,24.8,5.8,250,86
156,광주,2020-09-03 11:00,25.5,3.5,250,75
156,광주,2020-09-03 12:00,26.6,4,250,78
156,광주,2020-09-03 13:00,27.5,4.7,250,72
156,광주,2020-09-03 14:00,27.3,4.7,250,69
156,광주,2020-09-03 15:00,26,4.3,250,73
